        r62-roi-1-si-3.0k   r62-roi-1-si-1.5k   r62-roi-2-si-3.0k   r62-roi-2-si-1.5k   r62-roi-3-si-3.0k   r62-roi-3-si-1.5k   r62-roi-4-si-3.0k   r62-roi-4-si-1.5k   r65-roi-1-si-3.0k   r65-roi-1-si-1.5k   r65-roi-2-si-3.0k   r65-roi-2-si-1.5k   r65-roi-3-si-3.0k   r65-roi-3-si-1.5k   r65-roi-4-si-3.0k   r65-roi-4-si-1.5k
2016               597779              597779              603323              603323              608867              608867              614411              614411              597779              597779              603323              603323              608867              608867              614411              614411
2017               608716              608716              620037              620037              631467              631467              643007              643007              608716              608716              620037              620037              631467              631467              643007              643007
2018               885815              735815              903217              753217              920953              770953              939027              789027              885815              735815              903217              753217              920953              770953              939027              789027
2019               891864              740364              918357              765357              945539              791039              973424              817424              891864              740364              918357              765357              945539              791039              973424              817424
2020               794956              641941              830753              674693              867783              708648              906082              743842              898831              745816              934628              778568              971658              812523             1009957              847717
2021               697062              542517              741349              582167              787613              623704              835927              667197              906726              752181              952051              792870              994814              830905             1044147              875417
2022               641101              485010              692535              530170              746685              577859              803669              628190              946758              790668              997294              834929             1050617              881791             1111613              936134
2023               584836              427184              643469              477857              705880              531989              771920              589422              893358              735706              953964              788352             1018388              844497             1091829              909331
2024               539992              380764              605374              436450              675798              496690              751219              561421              851599              692371              922079              753154              997680              818573             1083924              894126
2025               494699              333878              566484              394181              644741              460260              729575              532185              809422              648601              889523              717220              976281              791800             1075588              878198
2026               448937              286465              526767              350500              612664              422649              706927              501642              766808              604379              856267              680518              954150              764134             1066781              861496
2027               416140              252494              499569              319777              592814              396644              696424              482927              736698              572645              834818              655555              943044              747328             1070170              856673
2028               399306              234814              488078              304997              588570              386514              701639              479247              722646              556953              829578              646729              948373              746786             1089814              867778
2029               382304              217128              476316              290014              584104              375986              706904              475410              708451              541101              824184              637678              953875              746240             1110067              879149
2030               365133              199429              464277              274828              579410              365049              712218              471393              694112              525088              818634              628398              959545              745681             1130929              890775
2031               353793              187746              457960              265448              580482              359690              723582              473124              685630              514916              818928              624887              971384              751104             1158463              908702
2032               342344              176046              451479              255893              581460              354044              735111              474635              677066              504645              819171              621249              983400              756512             1186734              926982
2033               330807              164351              444857              246183              582363              348126              746829              475934              668440              494295              819386              617506              995622              761927             1215785              945643
2034               315115              148602              434026              232251              579121              337856              754665              472934              655687              479800              815510              609592             1003986              763280             1241568              960621
2035               279889              112907              403776              198623              556844              308341              744034              451033              623429              445783              792386              582350              993611              745684             1249519              957334
2036               244313               77400              372891              164751              533880              278227              733270              428549              590850              411427              768765              554528              983161              727796             1258294              954421
2037               208376               41495              341359              130657              510153              247589              721937              405028              557947              376730              744638              526116              972313              709287             1267262              951235
2038               172348                5606              309169               96367              485641              216404              710012              380426              524719              341690              719996              497104              961055              690138             1276430              947762
2039               136285                   0              276079               61527              460320              184746              697469              354754              491164              306305              694830              467480              949374              670330             1285804              943989
2040               120177                   0              262332               45871              453967              172161              704083              348337              477081              290373              688933              457036              957061              669645             1315192              959704
2041               104138                   0              248288               30155              447354              159520              710820              341621              462866              274292              682891              446356              964897              668859             1345593              975885
2042                88240                   0              233964               14404              440503              146832              717723              334631              448541              258039              676731              435466              972924              668005             1377091              992596
2043                72432                   0              219361                   0              433412              134014              724803              327364              434107              241700              670455              424364              981151              667085             1409735             1009860
2044                56478                   0              204539                   0              426078              120849              732070              319821              419567              225236              664064              413051              989591              666102             1443564             1027694
2045                40317                   0              189591                   0              418499              107282              739540              311965              404921              208647              657561              401528              998255              665061             1478622             1046117
2046                24063                   0              174560                   0              410674               93303              747226              303873              390173              191936              650949              389795             1007157              663968             1514957             1065151
2047                 8040                   0              159563                   0              402641               78899              755199              295554              375350              175130              644265              377888             1016358              662873             1552680             1084882
